Level,Code/Description,Code1,Concat1,concat2,concat3,concat4,concat5,concat6,concat8,THE CODE,Code2b,code3b,Code4b,Code5b,Code6b,Code7b,Code8b,Level 1,Code22,Level 2,Code32,Level 3,Code42,Level 4,Level 5,Level 6,Level 7,Level 8,Global,Country 1,Country 2,Country 3,EU/ROW split
4,                64: Paper & paperboard,C4,C4_C1,C4_C1_C2,C4_C1_C2_C4,,,,,C4_C1_C2_C4,C1,C2,C4,,,,,    5to8: Manufactures,,        5and6: Semi-manufactures,,            6: Material manufactures,,                64: Paper & paperboard,,,,,,,,,
5,                    17.1B: Paper & paperboard,C4,C4_C1,C4_C1_C2,C4_C1_C2_C4,C4_C1_C2_C4_C1,,,,C4_C1_C2_C4_C1,C1,C2,C4,C1,,,,    5to8: Manufactures,,        5and6: Semi-manufactures,,            6: Material manufactures,,                64: Paper & paperboard,                    17.1B: Paper & paperboard,,,,,,,,
5,                    17.2A: Paper & paperboard articles n.e.s,C4,C4_C1,C4_C1_C2,C4_C1_C2_C4,C4_C1_C2_C4_C2,,,,C4_C1_C2_C4_C2,C1,C2,C4,C2,,,,    5to8: Manufactures,,        5and6: Semi-manufactures,,            6: Material manufactures,,                64: Paper & paperboard,                    17.2A: Paper & paperboard articles n.e.s,,,,,,,,
4,                65: Textile fabrics,C4,C4_C1,C4_C1_C2,C4_C1_C2_C5,,,,,C4_C1_C2_C5,C1,C2,C5,,,,,    5to8: Manufactures,,        5and6: Semi-manufactures,,            6: Material manufactures,,                65: Textile fabrics,,,,,,,,,
5,                    13.1C: Textile yarn,C4,C4_C1,C4_C1_C2,C4_C1_C2_C5,C4_C1_C2_C5_C1,,,,C4_C1_C2_C5_C1,C1,C2,C5,C1,,,,    5to8: Manufactures,,        5and6: Semi-manufactures,,            6: Material manufactures,,                65: Textile fabrics,                    13.1C: Textile yarn,,,,,,,,
5,                    13.2: Woven textiles,C4,C4_C1,C4_C1_C2,C4_C1_C2_C5,C4_C1_C2_C5_C2,,,,C4_C1_C2_C5_C2,C1,C2,C5,C2,,,,    5to8: Manufactures,,        5and6: Semi-manufactures,,            6: Material manufactures,,                65: Textile fabrics,                    13.2: Woven textiles,,,,,,,,
5,                    13.9B: Textile articles n.e.s,C4,C4_C1,C4_C1_C2,C4_C1_C2_C5,C4_C1_C2_C5_C3,,,,C4_C1_C2_C5_C3,C1,C2,C5,C3,,,,    5to8: Manufactures,,        5and6: Semi-manufactures,,            6: Material manufactures,,                65: Textile fabrics,                    13.9B: Textile articles n.e.s,,,,,,,,
5,                    14.1B: Hat shapes & forms,C4,C4_C1,C4_C1_C2,C4_C1_C2_C5,C4_C1_C2_C5_C4,,,,C4_C1_C2_C5_C4,C1,C2,C5,C4,,,,    5to8: Manufactures,,        5and6: Semi-manufactures,,            6: Material manufactures,,                65: Textile fabrics,                    14.1B: Hat shapes & forms,,,,,,,,
5,                    17.2B: Wadding & textile wall coverings,C4,C4_C1,C4_C1_C2,C4_C1_C2_C5,C4_C1_C2_C5_C5,,,,C4_C1_C2_C5_C5,C1,C2,C5,C5,,,,    5to8: Manufactures,,        5and6: Semi-manufactures,,            6: Material manufactures,,                65: Textile fabrics,                    17.2B: Wadding & textile wall coverings,,,,,,,,
5,                    20.6B: Man-made filament yarn,C4,C4_C1,C4_C1_C2,C4_C1_C2_C5,C4_C1_C2_C5_C6,,,,C4_C1_C2_C5_C6,C1,C2,C5,C6,,,,    5to8: Manufactures,,        5and6: Semi-manufactures,,            6: Material manufactures,,                65: Textile fabrics,                    20.6B: Man-made filament yarn,,,,,,,,
5,                    22.1C: Rubberized textile fabrics,C4,C4_C1,C4_C1_C2,C4_C1_C2_C5,C4_C1_C2_C5_C7,,,,C4_C1_C2_C5_C7,C1,C2,C5,C7,,,,    5to8: Manufactures,,        5and6: Semi-manufactures,,            6: Material manufactures,,                65: Textile fabrics,                    22.1C: Rubberized textile fabrics,,,,,,,,
5,                    22.2C: Linoleum etc,C4,C4_C1,C4_C1_C2,C4_C1_C2_C5,C4_C1_C2_C5_C8,,,,C4_C1_C2_C5_C8,C1,C2,C5,C8,,,,    5to8: Manufactures,,        5and6: Semi-manufactures,,            6: Material manufactures,,                65: Textile fabrics,                    22.2C: Linoleum etc,,,,,,,,
5,                    23.1A: Yarn of glass fibre,C4,C4_C1,C4_C1_C2,C4_C1_C2_C5,C4_C1_C2_C5_C9,,,,C4_C1_C2_C5_C9,C1,C2,C5,C9,,,,    5to8: Manufactures,,        5and6: Semi-manufactures,,            6: Material manufactures,,                65: Textile fabrics,                    23.1A: Yarn of glass fibre,,,,,,,,
4,                66: Mineral manufactures,C4,C4_C1,C4_C1_C2,C4_C1_C2_C6,,,,,C4_C1_C2_C6,C1,C2,C6,,,,,    5to8: Manufactures,,        5and6: Semi-manufactures,,            6: Material manufactures,,                66: Mineral manufactures,,,,,,,,,
5,                    66lessP: Mineral manufactures less precious stones,C4,C4_C1,C4_C1_C2,C4_C1_C2_C6,C4_C1_C2_C6_C1,,,,C4_C1_C2_C6_C1,C1,C2,C6,C1,,,,    5to8: Manufactures,,        5and6: Semi-manufactures,,            6: Material manufactures,,                66: Mineral manufactures,                    66lessP: Mineral manufactures less precious stones,,,,,,,,
6,                        23.1B: Glass & glass products n.e.s,C4,C4_C1,C4_C1_C2,C4_C1_C2_C6,C4_C1_C2_C6_C1,C4_C1_C2_C6_C1_C1,,,C4_C1_C2_C6_C1_C1,C1,C2,C6,C1,C1,,,    5to8: Manufactures,,        5and6: Semi-manufactures,,            6: Material manufactures,,                66: Mineral manufactures,                    66lessP: Mineral manufactures less precious stones,                        23.1B: Glass & glass products n.e.s,,,,,,,
6,                        23.2: Refactory products,C4,C4_C1,C4_C1_C2,C4_C1_C2_C6,C4_C1_C2_C6_C1,C4_C1_C2_C6_C1_C2,,,C4_C1_C2_C6_C1_C2,C1,C2,C6,C1,C2,,,    5to8: Manufactures,,        5and6: Semi-manufactures,,            6: Material manufactures,,                66: Mineral manufactures,                    66lessP: Mineral manufactures less precious stones,                        23.2: Refactory products,,,,,,,
6,"                        23.3: Bricks, tiles etc",C4,C4_C1,C4_C1_C2,C4_C1_C2_C6,C4_C1_C2_C6_C1,C4_C1_C2_C6_C1_C3,,,C4_C1_C2_C6_C1_C3,C1,C2,C6,C1,C3,,,    5to8: Manufactures,,        5and6: Semi-manufactures,,            6: Material manufactures,,                66: Mineral manufactures,                    66lessP: Mineral manufactures less precious stones,"                        23.3: Bricks, tiles etc",,,,,,,
6,                        23.4A: Ceramic articles n.e.s,C4,C4_C1,C4_C1_C2,C4_C1_C2_C6,C4_C1_C2_C6_C1,C4_C1_C2_C6_C1_C4,,,C4_C1_C2_C6_C1_C4,C1,C2,C6,C1,C4,,,    5to8: Manufactures,,        5and6: Semi-manufactures,,            6: Material manufactures,,                66: Mineral manufactures,                    66lessP: Mineral manufactures less precious stones,                        23.4A: Ceramic articles n.e.s,,,,,,,
6,                        23.5B: Cement & lime,C4,C4_C1,C4_C1_C2,C4_C1_C2_C6,C4_C1_C2_C6_C1,C4_C1_C2_C6_C1_C5,,,C4_C1_C2_C6_C1_C5,C1,C2,C6,C1,C5,,,    5to8: Manufactures,,        5and6: Semi-manufactures,,            6: Material manufactures,,                66: Mineral manufactures,                    66lessP: Mineral manufactures less precious stones,                        23.5B: Cement & lime,,,,,,,
6,"                        23.6B: Articles of concrete, plaster & cement n.e.s",C4,C4_C1,C4_C1_C2,C4_C1_C2_C6,C4_C1_C2_C6_C1,C4_C1_C2_C6_C1_C6,,,C4_C1_C2_C6_C1_C6,C1,C2,C6,C1,C6,,,    5to8: Manufactures,,        5and6: Semi-manufactures,,            6: Material manufactures,,                66: Mineral manufactures,                    66lessP: Mineral manufactures less precious stones,"                        23.6B: Articles of concrete, plaster & cement n.e.s",,,,,,,
6,"                        23.7: Cut, shaped & finished stones",C4,C4_C1,C4_C1_C2,C4_C1_C2_C6,C4_C1_C2_C6_C1,C4_C1_C2_C6_C1_C7,,,C4_C1_C2_C6_C1_C7,C1,C2,C6,C1,C7,,,    5to8: Manufactures,,        5and6: Semi-manufactures,,            6: Material manufactures,,                66: Mineral manufactures,                    66lessP: Mineral manufactures less precious stones,"                        23.7: Cut, shaped & finished stones",,,,,,,
6,                        23.9E: Mineral manufactures n.e.s,C4,C4_C1,C4_C1_C2,C4_C1_C2_C6,C4_C1_C2_C6_C1,C4_C1_C2_C6_C1_C8,,,C4_C1_C2_C6_C1_C8,C1,C2,C6,C1,C8,,,    5to8: Manufactures,,        5and6: Semi-manufactures,,            6: Material manufactures,,                66: Mineral manufactures,                    66lessP: Mineral manufactures less precious stones,                        23.9E: Mineral manufactures n.e.s,,,,,,,
6,                        38.1N: Glass waste,C4,C4_C1,C4_C1_C2,C4_C1_C2_C6,C4_C1_C2_C6_C1,C4_C1_C2_C6_C1_C9,,,C4_C1_C2_C6_C1_C9,C1,C2,C6,C1,C9,,,    5to8: Manufactures,,        5and6: Semi-manufactures,,            6: Material manufactures,,                66: Mineral manufactures,                    66lessP: Mineral manufactures less precious stones,                        38.1N: Glass waste,,,,,,,
5,                    66P: Precious stones,C4,C4_C1,C4_C1_C2,C4_C1_C2_C6,C4_C1_C2_C6_C2,,,,C4_C1_C2_C6_C2,C1,C2,C6,C2,,,,    5to8: Manufactures,,        5and6: Semi-manufactures,,            6: Material manufactures,,                66: Mineral manufactures,                    66P: Precious stones,,,,,,,,
6,                        03.0D: Unworked pearls,C4,C4_C1,C4_C1_C2,C4_C1_C2_C6,C4_C1_C2_C6_C2,C4_C1_C2_C6_C2_C1,,,C4_C1_C2_C6_C2_C1,C1,C2,C6,C2,C1,,,    5to8: Manufactures,,        5and6: Semi-manufactures,,            6: Material manufactures,,                66: Mineral manufactures,                    66P: Precious stones,                        03.0D: Unworked pearls,,,,,,,
6,                        08.9C: Unworked precious stones,C4,C4_C1,C4_C1_C2,C4_C1_C2_C6,C4_C1_C2_C6_C2,C4_C1_C2_C6_C2_C2,,,C4_C1_C2_C6_C2_C2,C1,C2,C6,C2,C2,,,    5to8: Manufactures,,        5and6: Semi-manufactures,,            6: Material manufactures,,                66: Mineral manufactures,                    66P: Precious stones,                        08.9C: Unworked precious stones,,,,,,,
6,                        20.13D: Unworked synthetic precious stones,C4,C4_C1,C4_C1_C2,C4_C1_C2_C6,C4_C1_C2_C6_C2,C4_C1_C2_C6_C2_C3,,,C4_C1_C2_C6_C2_C3,C1,C2,C6,C2,C3,,,    5to8: Manufactures,,        5and6: Semi-manufactures,,            6: Material manufactures,,                66: Mineral manufactures,                    66P: Precious stones,                        20.13D: Unworked synthetic precious stones,,,,,,,
6,                        32.1B: Worked pearls & precious stones,C4,C4_C1,C4_C1_C2,C4_C1_C2_C6,C4_C1_C2_C6_C2,C4_C1_C2_C6_C2_C4,,,C4_C1_C2_C6_C2_C4,C1,C2,C6,C2,C4,,,    5to8: Manufactures,,        5and6: Semi-manufactures,,            6: Material manufactures,,                66: Mineral manufactures,                    66P: Precious stones,                        32.1B: Worked pearls & precious stones,,,,,,,
4,                67: Iron & steel,C4,C4_C1,C4_C1_C2,C4_C1_C2_C7,,,,,C4_C1_C2_C7,C1,C2,C7,,,,,    5to8: Manufactures,,        5and6: Semi-manufactures,,            6: Material manufactures,,                67: Iron & steel,,,,,,,,,
5,                    24.1B: Other basic iron & steel,C4,C4_C1,C4_C1_C2,C4_C1_C2_C7,C4_C1_C2_C7_C1,,,,C4_C1_C2_C7_C1,C1,C2,C7,C1,,,,    5to8: Manufactures,,        5and6: Semi-manufactures,,            6: Material manufactures,,                67: Iron & steel,                    24.1B: Other basic iron & steel,,,,,,,,
5,"                    24.2: Non-cast steel tubes, pipes & hollow profiles",C4,C4_C1,C4_C1_C2,C4_C1_C2_C7,C4_C1_C2_C7_C2,,,,C4_C1_C2_C7_C2,C1,C2,C7,C2,,,,    5to8: Manufactures,,        5and6: Semi-manufactures,,            6: Material manufactures,,                67: Iron & steel,"                    24.2: Non-cast steel tubes, pipes & hollow profiles",,,,,,,,
5,                    24.3A: Other cold drawn steel products,C4,C4_C1,C4_C1_C2,C4_C1_C2_C7,C4_C1_C2_C7_C3,,,,C4_C1_C2_C7_C3,C1,C2,C7,C3,,,,    5to8: Manufactures,,        5and6: Semi-manufactures,,            6: Material manufactures,,                67: Iron & steel,                    24.3A: Other cold drawn steel products,,,,,,,,
5,                    24.5: Cast iron & steel tubes & pipes,C4,C4_C1,C4_C1_C2,C4_C1_C2_C7,C4_C1_C2_C7_C4,,,,C4_C1_C2_C7_C4,C1,C2,C7,C4,,,,    5to8: Manufactures,,        5and6: Semi-manufactures,,            6: Material manufactures,,                67: Iron & steel,                    24.5: Cast iron & steel tubes & pipes,,,,,,,,
4,                68: Non-ferrous metals,C4,C4_C1,C4_C1_C2,C4_C1_C2_C8,,,,,C4_C1_C2_C8,C1,C2,C8,,,,,    5to8: Manufactures,,        5and6: Semi-manufactures,,            6: Material manufactures,,                68: Non-ferrous metals,,,,,,,,,
5,                    68lessS: Non-ferrous metals less silver,C4,C4_C1,C4_C1_C2,C4_C1_C2_C8,C4_C1_C2_C8_C1,,,,C4_C1_C2_C8_C1,C1,C2,C8,C1,,,,    5to8: Manufactures,,        5and6: Semi-manufactures,,            6: Material manufactures,,                68: Non-ferrous metals,                    68lessS: Non-ferrous metals less silver,,,,,,,,
6,                        24.4D: Non-ferrous metals n.e.s,C4,C4_C1,C4_C1_C2,C4_C1_C2_C8,C4_C1_C2_C8_C1,C4_C1_C2_C8_C1_C1,,,C4_C1_C2_C8_C1_C1,C1,C2,C8,C1,C1,,,    5to8: Manufactures,,        5and6: Semi-manufactures,,            6: Material manufactures,,                68: Non-ferrous metals,                    68lessS: Non-ferrous metals less silver,                        24.4D: Non-ferrous metals n.e.s,,,,,,,
6,                        38.1O: Other non-ferrous metal waste,C4,C4_C1,C4_C1_C2,C4_C1_C2_C8,C4_C1_C2_C8_C1,C4_C1_C2_C8_C1_C2,,,C4_C1_C2_C8_C1_C2,C1,C2,C8,C1,C2,,,    5to8: Manufactures,,        5and6: Semi-manufactures,,            6: Material manufactures,,                68: Non-ferrous metals,                    68lessS: Non-ferrous metals less silver,                        38.1O: Other non-ferrous metal waste,,,,,,,
6,                        38.3: Secondary raw materials for other non-ferrous base metals,C4,C4_C1,C4_C1_C2,C4_C1_C2_C8,C4_C1_C2_C8_C1,C4_C1_C2_C8_C1_C3,,,C4_C1_C2_C8_C1_C3,C1,C2,C8,C1,C3,,,    5to8: Manufactures,,        5and6: Semi-manufactures,,            6: Material manufactures,,                68: Non-ferrous metals,                    68lessS: Non-ferrous metals less silver,                        38.3: Secondary raw materials for other non-ferrous base metals,,,,,,,
5,                    68S: Silver,C4,C4_C1,C4_C1_C2,C4_C1_C2_C8,C4_C1_C2_C8_C2,,,,C4_C1_C2_C8_C2,C1,C2,C8,C2,,,,    5to8: Manufactures,,        5and6: Semi-manufactures,,            6: Material manufactures,,                68: Non-ferrous metals,                    68S: Silver,,,,,,,,
6,                        24.4C: Silver,C4,C4_C1,C4_C1_C2,C4_C1_C2_C8,C4_C1_C2_C8_C2,C4_C1_C2_C8_C2_C1,,,C4_C1_C2_C8_C2_C1,C1,C2,C8,C2,C1,,,    5to8: Manufactures,,        5and6: Semi-manufactures,,            6: Material manufactures,,                68: Non-ferrous metals,                    68S: Silver,                        24.4C: Silver,,,,,,,
4,                69: Miscellaneous metal manufactures,C4,C4_C1,C4_C1_C2,C4_C1_C2_C9,,,,,C4_C1_C2_C9,C1,C2,C9,,,,,    5to8: Manufactures,,        5and6: Semi-manufactures,,            6: Material manufactures,,                69: Miscellaneous metal manufactures,,,,,,,,,
5,                    24.3B: Sandwich panels of coated steel sheet,C4,C4_C1,C4_C1_C2,C4_C1_C2_C9,C4_C1_C2_C9_C1,,,,C4_C1_C2_C9_C1,C1,C2,C9,C1,,,,    5to8: Manufactures,,        5and6: Semi-manufactures,,            6: Material manufactures,,                69: Miscellaneous metal manufactures,                    24.3B: Sandwich panels of coated steel sheet,,,,,,,,
5,                    24.4E: Non-ferrous metal products n.e.s,C4,C4_C1,C4_C1_C2,C4_C1_C2_C9,C4_C1_C2_C9_C2,,,,C4_C1_C2_C9_C2,C1,C2,C9,C2,,,,    5to8: Manufactures,,        5and6: Semi-manufactures,,            6: Material manufactures,,                69: Miscellaneous metal manufactures,                    24.4E: Non-ferrous metal products n.e.s,,,,,,,,
5,                    25.1A: Structural metal products,C4,C4_C1,C4_C1_C2,C4_C1_C2_C9,C4_C1_C2_C9_C3,,,,C4_C1_C2_C9_C3,C1,C2,C9,C3,,,,    5to8: Manufactures,,        5and6: Semi-manufactures,,            6: Material manufactures,,                69: Miscellaneous metal manufactures,                    25.1A: Structural metal products,,,,,,,,
5,"                    25.2A: Metal tanks, reservoirs & containers",C4,C4_C1,C4_C1_C2,C4_C1_C2_C9,C4_C1_C2_C9_C4,,,,C4_C1_C2_C9_C4,C1,C2,C9,C4,,,,    5to8: Manufactures,,        5and6: Semi-manufactures,,            6: Material manufactures,,                69: Miscellaneous metal manufactures,"                    25.2A: Metal tanks, reservoirs & containers",,,,,,,,
5,"                    25.7A: Cutlery, locks, hinges & tools",C4,C4_C1,C4_C1_C2,C4_C1_C2_C9,C4_C1_C2_C9_C5,,,,C4_C1_C2_C9_C5,C1,C2,C9,C5,,,,    5to8: Manufactures,,        5and6: Semi-manufactures,,            6: Material manufactures,,                69: Miscellaneous metal manufactures,"                    25.7A: Cutlery, locks, hinges & tools",,,,,,,,
5,                    25.9A: Fabricated metal products n.e.s,C4,C4_C1,C4_C1_C2,C4_C1_C2_C9,C4_C1_C2_C9_C6,,,,C4_C1_C2_C9_C6,C1,C2,C9,C6,,,,    5to8: Manufactures,,        5and6: Semi-manufactures,,            6: Material manufactures,,                69: Miscellaneous metal manufactures,                    25.9A: Fabricated metal products n.e.s,,,,,,,,
5,                    27.5A: Non-electric domestic cookers & heaters,C4,C4_C1,C4_C1_C2,C4_C1_C2_C9,C4_C1_C2_C9_C7,,,,C4_C1_C2_C9_C7,C1,C2,C9,C7,,,,    5to8: Manufactures,,        5and6: Semi-manufactures,,            6: Material manufactures,,                69: Miscellaneous metal manufactures,                    27.5A: Non-electric domestic cookers & heaters,,,,,,,,
2,        7and8: Finished manufactures,C4,C4_C2,,,,,,,C4_C2,C2,,,,,,,    5to8: Manufactures,,        7and8: Finished manufactures,,,,,,,,,,,,,
3,            7: Machinery & transport equipment,C4,C4_C2,C4_C2_C1,,,,,,C4_C2_C1,C2,C1,,,,,,    5to8: Manufactures,,        7and8: Finished manufactures,,            7: Machinery & transport equipment,,,,,,,,,,,
4,                71to77: Machinery,C4,C4_C2,C4_C2_C1,C4_C2_C1_C1,,,,,C4_C2_C1_C1,C2,C1,C1,,,,,    5to8: Manufactures,,        7and8: Finished manufactures,,            7: Machinery & transport equipment,,                71to77: Machinery,,,,,,,,,
5,                    7M: Mechanical machinery,C4,C4_C2,C4_C2_C1,C4_C2_C1_C1,C4_C2_C1_C1_C1,,,,C4_C2_C1_C1_C1,C2,C1,C1,C1,,,,    5to8: Manufactures,,        7and8: Finished manufactures,,            7: Machinery & transport equipment,,                71to77: Machinery,                    7M: Mechanical machinery,,,,,,,,
6,                        7MC: Mechanical machinery (consumer),C4,C4_C2,C4_C2_C1,C4_C2_C1_C1,C4_C2_C1_C1_C1,C4_C2_C1_C1_C1_C1,,,C4_C2_C1_C1_C1_C1,C2,C1,C1,C1,C1,,,    5to8: Manufactures,,        7and8: Finished manufactures,,            7: Machinery & transport equipment,,                71to77: Machinery,                    7M: Mechanical machinery,                        7MC: Mechanical machinery (consumer),,,,,,,
7,                            71MC: Mechanical power generators (consumer),C4,C4_C2,C4_C2_C1,C4_C2_C1_C1,C4_C2_C1_C1_C1,C4_C2_C1_C1_C1_C1,C4_C2_C1_C1_C1_C1_C1,,C4_C2_C1_C1_C1_C1_C1,C2,C1,C1,C1,C1,C1,,    5to8: Manufactures,,        7and8: Finished manufactures,,            7: Machinery & transport equipment,,                71to77: Machinery,                    7M: Mechanical machinery,                        7MC: Mechanical machinery (consumer),                            71MC: Mechanical power generators (consumer),,,,,,
8,                                28.1A: Outboard motors,C4,C4_C2,C4_C2_C1,C4_C2_C1_C1,C4_C2_C1_C1_C1,C4_C2_C1_C1_C1_C1,C4_C2_C1_C1_C1_C1_C1,C4_C2_C1_C1_C1_C1_C1_C1,C4_C2_C1_C1_C1_C1_C1_C1,C2,C1,C1,C1,C1,C1,C1,    5to8: Manufactures,,        7and8: Finished manufactures,,            7: Machinery & transport equipment,,                71to77: Machinery,                    7M: Mechanical machinery,                        7MC: Mechanical machinery (consumer),                            71MC: Mechanical power generators (consumer),                                28.1A: Outboard motors,,,,,
7,                            72C: Specialised machinery (consumer),C4,C4_C2,C4_C2_C1,C4_C2_C1_C1,C4_C2_C1_C1_C1,C4_C2_C1_C1_C1_C1,C4_C2_C1_C1_C1_C1_C2,,C4_C2_C1_C1_C1_C1_C2,C2,C1,C1,C1,C1,C2,,    5to8: Manufactures,,        7and8: Finished manufactures,,            7: Machinery & transport equipment,,                71to77: Machinery,                    7M: Mechanical machinery,                        7MC: Mechanical machinery (consumer),                            72C: Specialised machinery (consumer),,,,,,
8,                                28.3A: Lawnmowers,C4,C4_C2,C4_C2_C1,C4_C2_C1_C1,C4_C2_C1_C1_C1,C4_C2_C1_C1_C1_C1,C4_C2_C1_C1_C1_C1_C2,C4_C2_C1_C1_C1_C1_C2_C1,C4_C2_C1_C1_C1_C1_C2_C1,C2,C1,C1,C1,C1,C2,C1,    5to8: Manufactures,,        7and8: Finished manufactures,,            7: Machinery & transport equipment,,                71to77: Machinery,                    7M: Mechanical machinery,                        7MC: Mechanical machinery (consumer),                            72C: Specialised machinery (consumer),                                28.3A: Lawnmowers,,,,,
8,                                28.9A: Household sewing machines,C4,C4_C2,C4_C2_C1,C4_C2_C1_C1,C4_C2_C1_C1_C1,C4_C2_C1_C1_C1_C1,C4_C2_C1_C1_C1_C1_C2,C4_C2_C1_C1_C1_C1_C2_C2,C4_C2_C1_C1_C1_C1_C2_C2,C2,C1,C1,C1,C1,C2,C2,    5to8: Manufactures,,        7and8: Finished manufactures,,            7: Machinery & transport equipment,,                71to77: Machinery,                    7M: Mechanical machinery,                        7MC: Mechanical machinery (consumer),                            72C: Specialised machinery (consumer),                                28.9A: Household sewing machines,,,,,
7,                            74C: General industrial machinery (consumer),C4,C4_C2,C4_C2_C1,C4_C2_C1_C1,C4_C2_C1_C1_C1,C4_C2_C1_C1_C1_C1,C4_C2_C1_C1_C1_C1_C3,,C4_C2_C1_C1_C1_C1_C3,C2,C1,C1,C1,C1,C3,,    5to8: Manufactures,,        7and8: Finished manufactures,,            7: Machinery & transport equipment,,                71to77: Machinery,                    7M: Mechanical machinery,                        7MC: Mechanical machinery (consumer),                            74C: General industrial machinery (consumer),,,,,,
8,                                27.5B: Domestic fans & ventilating hoods,C4,C4_C2,C4_C2_C1,C4_C2_C1_C1,C4_C2_C1_C1_C1,C4_C2_C1_C1_C1_C1,C4_C2_C1_C1_C1_C1_C3,C4_C2_C1_C1_C1_C1_C3_C1,C4_C2_C1_C1_C1_C1_C3_C1,C2,C1,C1,C1,C1,C3,C1,    5to8: Manufactures,,        7and8: Finished manufactures,,            7: Machinery & transport equipment,,                71to77: Machinery,                    7M: Mechanical machinery,                        7MC: Mechanical machinery (consumer),                            74C: General industrial machinery (consumer),                                27.5B: Domestic fans & ventilating hoods,,,,,
8,                                28.2E: Self-contained air conditioning machines; household weighing machines,C4,C4_C2,C4_C2_C1,C4_C2_C1_C1,C4_C2_C1_C1_C1,C4_C2_C1_C1_C1_C1,C4_C2_C1_C1_C1_C1_C3,C4_C2_C1_C1_C1_C1_C3_C2,C4_C2_C1_C1_C1_C1_C3_C2,C2,C1,C1,C1,C1,C3,C2,    5to8: Manufactures,,        7and8: Finished manufactures,,            7: Machinery & transport equipment,,                71to77: Machinery,                    7M: Mechanical machinery,                        7MC: Mechanical machinery (consumer),                            74C: General industrial machinery (consumer),                                28.2E: Self-contained air conditioning machines; household weighing machines,,,,,
6,                        7MI: Mechanical machinery (intermediate),C4,C4_C2,C4_C2_C1,C4_C2_C1_C1,C4_C2_C1_C1_C1,C4_C2_C1_C1_C1_C2,,,C4_C2_C1_C1_C1_C2,C2,C1,C1,C1,C2,,,    5to8: Manufactures,,        7and8: Finished manufactures,,            7: Machinery & transport equipment,,                71to77: Machinery,                    7M: Mechanical machinery,                        7MI: Mechanical machinery (intermediate),,,,,,,
7,                            71MI: Mechanical power generators (intermediate),C4,C4_C2,C4_C2_C1,C4_C2_C1_C1,C4_C2_C1_C1_C1,C4_C2_C1_C1_C1_C2,C4_C2_C1_C1_C1_C2_C1,,C4_C2_C1_C1_C1_C2_C1,C2,C1,C1,C1,C2,C1,,    5to8: Manufactures,,        7and8: Finished manufactures,,            7: Machinery & transport equipment,,                71to77: Machinery,                    7M: Mechanical machinery,                        7MI: Mechanical machinery (intermediate),                            71MI: Mechanical power generators (intermediate),,,,,,
8,                                25.3B: Parts of steam generators & nuclear reactors,C4,C4_C2,C4_C2_C1,C4_C2_C1_C1,C4_C2_C1_C1_C1,C4_C2_C1_C1_C1_C2,C4_C2_C1_C1_C1_C2_C1,C4_C2_C1_C1_C1_C2_C1_C1,C4_C2_C1_C1_C1_C2_C1_C1,C2,C1,C1,C1,C2,C1,C1,    5to8: Manufactures,,        7and8: Finished manufactures,,            7: Machinery & transport equipment,,                71to77: Machinery,                    7M: Mechanical machinery,                        7MI: Mechanical machinery (intermediate),                            71MI: Mechanical power generators (intermediate),                                25.3B: Parts of steam generators & nuclear reactors,,,,,
8,"                                28.1C: Gas turbines and parts of engines, turbines & fluid power equipment",C4,C4_C2,C4_C2_C1,C4_C2_C1_C1,C4_C2_C1_C1_C1,C4_C2_C1_C1_C1_C2,C4_C2_C1_C1_C1_C2_C1,C4_C2_C1_C1_C1_C2_C1_C2,C4_C2_C1_C1_C1_C2_C1_C2,C2,C1,C1,C1,C2,C1,C2,    5to8: Manufactures,,        7and8: Finished manufactures,,            7: Machinery & transport equipment,,                71to77: Machinery,                    7M: Mechanical machinery,                        7MI: Mechanical machinery (intermediate),                            71MI: Mechanical power generators (intermediate),"                                28.1C: Gas turbines and parts of engines, turbines & fluid power equipment",,,,,
8,                                29.1A: Internal combustion engines for motor vehicles,C4,C4_C2,C4_C2_C1,C4_C2_C1_C1,C4_C2_C1_C1_C1,C4_C2_C1_C1_C1_C2,C4_C2_C1_C1_C1_C2_C1,C4_C2_C1_C1_C1_C2_C1_C3,C4_C2_C1_C1_C1_C2_C1_C3,C2,C1,C1,C1,C2,C1,C3,    5to8: Manufactures,,        7and8: Finished manufactures,,            7: Machinery & transport equipment,,                71to77: Machinery,                    7M: Mechanical machinery,                        7MI: Mechanical machinery (intermediate),                            71MI: Mechanical power generators (intermediate),                                29.1A: Internal combustion engines for motor vehicles,,,,,
8,                                30.3A: Aircraft engines,C4,C4_C2,C4_C2_C1,C4_C2_C1_C1,C4_C2_C1_C1_C1,C4_C2_C1_C1_C1_C2,C4_C2_C1_C1_C1_C2_C1,C4_C2_C1_C1_C1_C2_C1_C4,C4_C2_C1_C1_C1_C2_C1_C4,C2,C1,C1,C1,C2,C1,C4,    5to8: Manufactures,,        7and8: Finished manufactures,,            7: Machinery & transport equipment,,                71to77: Machinery,                    7M: Mechanical machinery,                        7MI: Mechanical machinery (intermediate),                            71MI: Mechanical power generators (intermediate),                                30.3A: Aircraft engines,,,,,
